bank_code,ADBL,CZBIL,EBL,GBIME,HBL,KBL,MBL,NABIL,NBB,NBL,NICA,PCBL,PRVU,SANIMA,SBI,SBL,SCB
ADBL,1.0,0.8315372609809485,0.7612450071729255,0.8416963145850669,0.8437272890631364,0.7113073342815409,0.8436713744448104,0.8032677976330846,0.646589757877333,0.8251289454686802,0.44395054609571466,0.8850638704014886,0.7784894794634882,0.8252591594701878,0.7845832007287483,0.8306016675162338,0.7501833718637935
CZBIL,0.8315372609809485,1.0,0.924384104257061,0.8925107899175415,0.8995481282658851,0.847006262926752,0.9231893284588532,0.9304075378451598,0.7377675569840881,0.6293170079852709,0.47228584893061243,0.9207486602124996,0.7826942834087086,0.97994487494966,0.9250912234430334,0.8466729729324711,0.9017371783527576
EBL,0.7612450071729255,0.924384104257061,1.0,0.8068744069413505,0.9215493074634735,0.8314646190776154,0.9163825728351064,0.8737843176754015,0.7899854053812411,0.49826410234999235,0.3245186314212153,0.8534592394693451,0.6656026295344487,0.9118378874519181,0.9673198436765706,0.8806030539817733,0.9580399206823362
GBIME,0.8416963145850669,0.8925107899175415,0.8068744069413505,1.0,0.8672541939034771,0.8806295758768845,0.8623719283435292,0.9342169442591619,0.5714403762263713,0.7747871635956115,0.4880956014670249,0.9428093777228108,0.9110313410371309,0.8847177162946183,0.7870747883597171,0.8206423833950467,0.7721994296390843
HBL,0.8437272890631364,0.8995481282658851,0.9215493074634735,0.8672541939034771,1.0,0.8175014123632364,0.8652382173069451,0.9118230619102442,0.6150837332900282,0.6397857429862025,0.31153932707366355,0.9027707433800246,0.7478378568569573,0.8818047229051098,0.9328852372102007,0.8311199284977696,0.9265727783205067
KBL,0.7113073342815409,0.847006262926752,0.8314646190776154,0.8806295758768845,0.8175014123632364,1.0,0.8136818363051803,0.8436590927118774,0.6361494526338543,0.6631057857770155,0.36771978596907245,0.857428300364684,0.8397387817644707,0.8156093636507133,0.8191475485591896,0.8510374865549638,0.7913669635886593
MBL,0.8436713744448104,0.9231893284588532,0.9163825728351064,0.8623719283435292,0.8652382173069451,0.8136818363051803,1.0,0.8938455587447915,0.7990458542714318,0.6178812190925072,0.5053365980738297,0.8835533456145266,0.7417435965231407,0.909360774360791,0.8803632747382938,0.9232727314313633,0.8726513110539105
NABIL,0.8032677976330846,0.9304075378451598,0.8737843176754015,0.9342169442591619,0.9118230619102442,0.8436590927118774,0.8938455587447915,1.0,0.620239728239594,0.641189294751765,0.5303711762922867,0.930356417397214,0.8307736422648998,0.9094549427939422,0.847743766990317,0.8179389412040096,0.8489345736135142
NBB,0.646589757877333,0.7377675569840881,0.7899854053812411,0.5714403762263713,0.6150837332900282,0.6361494526338543,0.7990458542714318,0.620239728239594,1.0,0.4653608048958805,0.4120818864833528,0.6383488727225781,0.4652844699784233,0.6910701905514601,0.7612038484093199,0.8251150166134569,0.7300968918363852
NBL,0.8251289454686802,0.6293170079852709,0.49826410234999235,0.7747871635956115,0.6397857429862025,0.6631057857770155,0.6178812190925072,0.641189294751765,0.4653608048958805,1.0,0.4536867984383753,0.7712782525329696,0.7992075046385672,0.5980894536917176,0.5358171882540917,0.6467503509632887,0.49400668174627843
NICA,0.44395054609571466,0.47228584893061243,0.3245186314212153,0.4880956014670249,0.31153932707366355,0.36771978596907245,0.5053365980738297,0.5303711762922867,0.4120818864833528,0.4536867984383753,1.0,0.49814769599583125,0.5520593257462271,0.45148079066133073,0.2573015345334631,0.38446934139337646,0.21835694187129512
PCBL,0.8850638704014886,0.9207486602124996,0.8534592394693451,0.9428093777228108,0.9027707433800246,0.857428300364684,0.8835533456145266,0.930356417397214,0.6383488727225781,0.7712782525329696,0.49814769599583125,1.0,0.8944745964728071,0.9074051689219538,0.8515340002944909,0.8360944721394203,0.8332802934302728
PRVU,0.7784894794634882,0.7826942834087086,0.6656026295344487,0.9110313410371309,0.7478378568569573,0.8397387817644707,0.7417435965231407,0.8307736422648998,0.4652844699784233,0.7992075046385672,0.5520593257462271,0.8944745964728071,1.0,0.7637575162013637,0.6640664663376239,0.7182403468243191,0.6569524837662847
SANIMA,0.8252591594701878,0.97994487494966,0.9118378874519181,0.8847177162946183,0.8818047229051098,0.8156093636507133,0.909360774360791,0.9094549427939422,0.6910701905514601,0.5980894536917176,0.45148079066133073,0.9074051689219538,0.7637575162013637,1.0,0.9030120711156291,0.8198327534548974,0.8715379087066601
SBI,0.7845832007287483,0.9250912234430334,0.9673198436765706,0.7870747883597171,0.9328852372102007,0.8191475485591896,0.8803632747382938,0.847743766990317,0.7612038484093199,0.5358171882540917,0.2573015345334631,0.8515340002944909,0.6640664663376239,0.9030120711156291,1.0,0.8654246193790631,0.9711059255631418
SBL,0.8306016675162338,0.8466729729324711,0.8806030539817733,0.8206423833950467,0.8311199284977696,0.8510374865549638,0.9232727314313633,0.8179389412040096,0.8251150166134569,0.6467503509632887,0.38446934139337646,0.8360944721394203,0.7182403468243191,0.8198327534548974,0.8654246193790631,1.0,0.8246417511278916
SCB,0.7501833718637935,0.9017371783527576,0.9580399206823362,0.7721994296390843,0.9265727783205067,0.7913669635886593,0.8726513110539105,0.8489345736135142,0.7300968918363852,0.49400668174627843,0.21835694187129512,0.8332802934302728,0.6569524837662847,0.8715379087066601,0.9711059255631418,0.8246417511278916,1.0
